,name,album,artist,release_date,length,popularity,danceability,acousticness,energy,instrumentalness,loudness,speechiness,liveness,tempo,time_signature
0,SET ME FREE,READY TO BE,TWICE,2023-03-10,181680,80,0.756,0.0966,0.831,0.0,0.0499,-2.536,0.141,113.025,4
1,Talk that Talk,BETWEEN 1&2,TWICE,2022-08-26,177466,78,0.772,0.136,0.907,0.0,0.334,-2.438,0.124,119.973,4
2,MOONLIGHT SUNRISE,MOONLIGHT SUNRISE,TWICE,2023-01-20,180320,77,0.749,0.392,0.781,2.12e-06,0.086,-3.265,0.0578,125.09,4
3,The Feels,Formula of Love: O+T=<3,TWICE,2021-11-12,198053,77,0.808,0.0899,0.903,0.0,0.0816,-2.179,0.0729,120.044,4
4,I CAN'T STOP ME,Eyes Wide Open,TWICE,2020-10-26,205493,76,0.657,0.121,0.88,0.0,0.463,-3.672,0.102,150.084,4
5,Typa Girl,BORN PINK,BLACKPINK,2022-09-16,179172,80,0.915,0.0745,0.621,0.0,0.628,-6.519,0.1,131.984,4
6,How You Like That,THE ALBUM,BLACKPINK,2020-10-02,182956,79,0.812,0.0465,0.761,0.000135,0.0601,-5.222,0.0812,130.032,4
7,Shut Down,BORN PINK,BLACKPINK,2022-09-16,175889,78,0.82,0.00412,0.686,0.0,0.184,-5.102,0.038,110.058,3
8,Pink Venom,BORN PINK,BLACKPINK,2022-09-15,186964,78,0.693,0.0145,0.734,0.0,0.217,-6.189,0.202,180.06,4
9,Tally,BORN PINK,BLACKPINK,2022-09-16,184248,75,0.688,0.00777,0.637,0.0,0.13,-4.85,0.031,129.902,4
10,Spicy,MY WORLD - The 3rd Mini Album,aespa,2023-05-08,197040,84,0.757,0.0138,0.898,0.0,0.0703,-1.247,0.0667,114.949,4
11,Hold On Tight,Hold On Tight,aespa,2023-03-30,149718,81,0.586,0.0911,0.816,2.81e-06,0.235,-6.331,0.283,119.8,4
12,Thirsty,MY WORLD - The 3rd Mini Album,aespa,2023-05-08,193413,77,0.654,0.549,0.787,0.0,0.13,-2.538,0.0636,77.513,4
13,Welcome To MY World (feat. nævis),Welcome To MY World (feat. nævis),aespa,2023-05-02,206920,77,0.598,0.185,0.836,0.0,0.292,-1.694,0.0304,152.009,4
14,Salty & Sweet,MY WORLD - The 3rd Mini Album,aespa,2023-05-08,201760,75,0.796,0.0734,0.636,9.84e-05,0.126,-5.404,0.0414,102.979,4
15,ILLELLA,MIC ON,MAMAMOO,2022-10-11,166053,68,0.523,0.00359,0.83,0.0,0.0806,-2.089,0.167,173.931,4
16,AYA,TRAVEL,MAMAMOO,2020-11-03,211280,64,0.634,0.101,0.858,8.56e-06,0.258,-2.226,0.0809,91.688,4
17,Dingga,Dingga,MAMAMOO,2020-10-20,179080,62,0.772,0.0549,0.925,0.0,0.201,-2.788,0.108,119.963,4
18,"1,2,3 Eoi!",MIC ON,MAMAMOO,2022-10-11,176093,52,0.862,0.0664,0.875,9.97e-06,0.0778,-2.476,0.149,120.084,4
19,L.I.E.C,MIC ON,MAMAMOO,2022-10-11,178146,53,0.735,0.021,0.923,0.0,0.038,-2.119,0.0703,122.002,4
20,Cheshire,CHESHIRE,ITZY,2022-11-30,182453,76,0.79,0.332,0.838,7.07e-06,0.357,-3.183,0.0501,98.966,4
21,LOCO,CRAZY IN LOVE,ITZY,2021-09-24,191462,75,0.759,0.0103,0.886,2.04e-05,0.342,-3.067,0.187,102.065,4
22,WANNABE,IT'z ME,ITZY,2020-03-09,191242,75,0.809,0.00795,0.911,0.000179,0.181,-4.41,0.0617,122.035,4
23,Not Shy,Not Shy,ITZY,2020-08-17,177728,71,0.776,0.155,0.911,2.59e-06,0.268,-3.08,0.131,101.027,4
24,In the morning,GUESS WHO,ITZY,2021-04-30,172373,71,0.846,0.0823,0.814,0.00094,0.13,-4.685,0.149,140.055,4
25,UNFORGIVEN (feat. Nile Rodgers),UNFORGIVEN,LE SSERAFIM,2023-05-01,182148,88,0.795,0.111,0.875,8.94e-05,0.107,-4.079,0.0525,104.008,4
26,"Eve, Psyche & The Bluebeard’s wife",UNFORGIVEN,LE SSERAFIM,2023-05-01,185538,83,0.663,0.0153,0.872,0.0,0.0519,-5.056,0.2,142.951,4
27,ANTIFRAGILE,ANTIFRAGILE,LE SSERAFIM,2022-10-17,184444,84,0.882,0.0821,0.797,0.0,0.113,-3.299,0.0819,105.025,4
28,Sour Grapes,FEARLESS,LE SSERAFIM,2022-05-02,196540,78,0.779,0.395,0.801,0.0,0.108,-5.564,0.0457,139.998,4
29,FEARLESS,FEARLESS,LE SSERAFIM,2022-05-02,168437,79,0.863,0.0508,0.62,0.00324,0.129,-7.167,0.135,103.971,4
30,WA DA DA,FIRST IMPACT,Kep1er,2022-01-03,183693,69,0.785,0.00122,0.907,3.11e-06,0.213,-2.657,0.0938,126.004,4
31,Giddy,LOVESTRUCK!,Kep1er,2023-04-10,184240,67,0.705,0.0334,0.872,3.93e-06,0.367,-2.798,0.158,104.9,4
32,Up!,DOUBLAST,Kep1er,2022-06-20,192026,65,0.753,0.0205,0.932,4.31e-06,0.0326,-2.706,0.119,124.006,4
33,Back to the City,LOVESTRUCK!,Kep1er,2023-04-10,200000,62,0.527,0.00829,0.853,0.0,0.493,-1.626,0.0609,176.934,4
34,Happy Ending,LOVESTRUCK!,Kep1er,2023-04-10,178173,54,0.694,0.316,0.659,0.0,0.282,-3.825,0.0612,103.924,4
35,I AM,I've IVE,IVE,2023-04-10,183853,89,0.683,0.0115,0.875,0.0,0.084,-4.866,0.0549,122.002,4
36,After LIKE,After LIKE,IVE,2022-08-22,176973,84,0.68,0.103,0.922,0.0,0.0877,-1.215,0.121,125.014,4
37,LOVE DIVE,LOVE DIVE,IVE,2022-04-05,177186,83,0.703,0.00379,0.709,5.43e-05,0.333,-4.169,0.0433,117.941,4
38,Kitsch,Kitsch,IVE,2023-03-27,195440,80,0.8,0.0119,0.792,1.11e-06,0.0495,-4.953,0.0529,102.0,4
39,ELEVEN,ELEVEN,IVE,2021-12-01,178453,79,0.828,0.0617,0.731,0.0,0.048,-3.033,0.111,119.978,4
40,OMG,NewJeans 'OMG',NewJeans,2023-01-02,212253,92,0.804,0.357,0.771,3.07e-06,0.108,-4.067,0.0433,126.956,4
41,Ditto,Ditto,NewJeans,2022-12-19,185506,89,0.814,0.027,0.641,0.0,0.0993,-5.957,0.111,133.854,4
42,Hype Boy,NewJeans 1st EP 'New Jeans',NewJeans,2022-08-01,179026,87,0.593,0.268,0.935,0.0,0.286,-3.43,0.225,99.976,4
43,Attention,NewJeans 1st EP 'New Jeans',NewJeans,2022-08-01,180066,84,0.811,0.236,0.648,0.0,0.0761,-3.684,0.0368,104.988,4
44,Cookie,NewJeans 1st EP 'New Jeans',NewJeans,2022-08-01,235562,80,0.847,0.0596,0.638,0.0,0.0894,-3.764,0.0575,156.935,4
45,Feel My Rhythm,‘The ReVe Festival 2022 - Feel My Rhythm’,Red Velvet,2022-03-21,210253,75,0.412,0.0648,0.94,0.0,0.358,-2.171,0.215,157.964,4
46,BYE BYE,‘The ReVe Festival 2022 - Birthday’,Red Velvet,2022-11-28,196079,67,0.72,0.32,0.733,0.0,0.423,-3.489,0.0806,116.129,4
47,Queendom,Queendom - The 6th Mini Album,Red Velvet,2021-08-16,181760,69,0.695,0.179,0.896,0.0,0.0626,-1.24,0.0847,119.959,4
48,Birthday,‘The ReVe Festival 2022 - Birthday’,Red Velvet,2022-11-28,216440,67,0.645,0.0486,0.864,0.0,0.0491,-2.065,0.0538,149.949,4
49,In My Dreams,‘The ReVe Festival 2022 - Feel My Rhythm’,Red Velvet,2022-03-21,204760,65,0.652,0.215,0.536,0.0066,0.0489,-4.517,0.0283,101.044,3
